,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
0,39.9509,48.8994,39.38,72,96,7.4,AZ,1615179139
1,-33.65,115.3333,73.0,71,97,3.0,AU,1615179139
2,60.7161,-135.0538,17.6,53,90,5.75,CA,1615179139
3,22.0752,-159.319,73.4,73,75,16.11,US,1615179139
4,22.2769,113.5678,77.0,78,40,17.27,CN,1615179139
5,69.7008,170.3133,-12.73,90,100,18.48,RU,1615179140
6,-46.6,168.3333,57.0,80,91,11.99,NZ,1615179140
7,42.6001,-73.9662,23.0,42,6,7.67,US,1615179140
8,65.75,150.85,-2.06,88,100,4.68,RU,1615179140
9,-38.2667,141.9667,59.47,85,100,11.99,AU,1615179140
10,26.0614,119.3061,60.8,67,75,17.9,CN,1615179140
11,-21.2,-175.2,80.6,83,75,13.8,TO,1615179141
12,65.6145,-37.6368,33.8,100,90,29.93,GL,1615179141
13,-46.2817,169.8464,57.99,72,100,4.0,NZ,1615179141
14,-17.8,-63.1667,75.2,88,5,3.44,BO,1615179099
15,64.8569,-147.8028,15.8,72,75,2.73,US,1615179141
16,60.9167,-46.05,30.2,74,90,13.8,GL,1615179142
17,-7.5833,31.2667,59.09,100,100,3.27,TZ,1615179142
18,-19.55,169.2667,80.19,65,1,11.48,VU,1615179142
19,-54.8,-68.3,41.0,81,75,6.91,AR,1615179142
20,68.75,161.3,-16.53,88,100,7.74,RU,1615179142
21,-23.1203,-134.9692,79.93,83,100,18.63,PF,1615179143
22,-13.1256,38.9997,69.44,99,100,4.38,MZ,1615179143
23,-33.918,25.5701,64.4,88,40,14.97,ZA,1615179143
24,5.2767,115.2417,87.8,58,20,3.44,MY,1615178862
25,-28.7667,114.6,93.2,36,0,17.27,AU,1615179143
26,-42.8794,147.3294,73.99,59,75,11.5,AU,1615178904
27,51.0167,116.5167,19.4,95,83,4.99,RU,1615179144
28,4.4148,114.0089,82.4,83,40,4.61,MY,1615178939
29,70.6333,147.9167,-11.81,89,100,7.56,RU,1615179144
30,59.7035,30.7861,19.4,79,75,6.71,RU,1615179144
31,-21.3585,55.7679,84.2,70,7,5.75,RE,1615179144
32,66.53,66.6019,-21.03,86,100,9.17,RU,1615179145
33,-33.8667,121.9,71.6,60,40,9.22,AU,1615179145
34,22.8909,-109.9124,64.99,69,2,5.21,MX,1615178947
35,-46.1927,168.8643,57.0,80,99,11.99,NZ,1615179145
36,-27.6146,-48.5012,75.0,88,20,3.13,BR,1615179145
37,5.4112,100.3354,89.01,70,20,6.91,MY,1615179146
38,52.6333,29.7333,22.24,95,25,10.74,BY,1615179146
